[ 2014-11-26T15:38:06+08:00 ] /thinkphpTest/admin.php | INFO: Tag[ app_begin ] --START--
[ 2014-11-26T15:38:06+08:00 ] /thinkphpTest/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000543s ]
[ 2014-11-26T15:38:06+08:00 ] /thinkphpTest/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000636s ]
[ 2014-11-26T15:50:47+08:00 ] /thinkphpTest/admin.php/login | ERR: (ThinkException) 无法加载模块login
[ 2014-11-26T15:55:01+08:00 ] /thinkphpTest/admin.php/Login | ERR: (ThinkException) 非法操作index
[ 2014-11-26T15:56:10+08:00 ] /thinkphpTest/admin.php/Login.php | ERR: (ThinkException) 无法加载模块Login.php
[ 2014-11-26T15:56:27+08:00 ] /thinkphpTest/admin.php/Login/index.php | ERR: (ThinkException) 非法操作index.php
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.001607s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001742s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001141s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001212s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.026519s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.026611s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.286464s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.286612s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.016134s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.006770s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002857s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003609s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.029821s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003638s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003794s ]
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/resources/css/reset.css | ERR: (ThinkException) 非法操作resources
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/resources/css/invalid.css | ERR: (ThinkException) 非法操作resources
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/resources/scripts/jquery-1.3.2.min.js | ERR: (ThinkException) 非法操作resources
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/resources/css/style.css | ERR: (ThinkException) 非法操作resources
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/resources/scripts/jquery.wysiwyg.js | ERR: (ThinkException) 非法操作resources
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/resources/images/logo.png | ERR: (ThinkException) 非法操作resources
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/resources/scripts/simpla.jquery.configuration.js | ERR: (ThinkException) 非法操作resources
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/resources/scripts/facebox.js | ERR: (ThinkException) 非法操作resources
[ 2014-11-26T15:58:36+08:00 ] /thinkphpTest/admin.php/Login/resources/images/logo.png | ERR: (ThinkException) 非法操作resources
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.001489s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001603s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002037s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002127s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001746s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001809s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016341s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016430s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.001180s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.001292s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000996s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001189s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004838s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001148s ]
[ 2014-11-26T16:04:13+08:00 ] /thinkphpTest/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001202s ]
